ï..BOROUGH,BUILDING.CLASS.CATEGORY,RESIDENTIAL.UNITS,LAND..SQUARE.FEET,GROSS..SQUARE.FEET,YEAR.BUILT,SALE.PRICE,MortgageRate,CovidDummy
StatenIsland,1 ONE FAMILY DWELLINGS,1,1944,1540,1995,499800,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1135,1540,1995,375000,3.51,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,2488,1656,2003,609000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1550,1350,2002,535000,3.15,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1545,1350,2002,322179,3.45,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,1545,1350,2002,470000,3.51,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,1230,1540,1995,435000,2.91,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,3078,1874,2007,670000,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,3123,1874,2007,715000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1972,1552,2012,620000,2.99,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2497,1552,2011,605000,3.51,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,6673,1552,2011,680000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2167,1552,2011,610000,2.91,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,3473,1552,2011,660000,3.45,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,3439,1552,2011,670000,2.91,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,380000,3.13,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,359000,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,353,929,1996,255000,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,357200,3.13,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,357000,3.45,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,2000,360000,3.15,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,2000,368250,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,560,1510,2001,380000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,2001,355000,3.13,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,560,1510,2004,412500,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,560,1510,2004,400000,3.5,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,2004,353000,2.99,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,560,1553,1996,400000,3.51,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,334000,2.91,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,339500,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,365000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,353,929,1996,252000,2.99,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,360400,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,350000,3.51,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,370000,3.13,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,320000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,560,1510,1996,435000,3.5,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,395000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,365000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,560,1553,1996,390000,3.15,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,369200,2.99,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,2000,336000,3.5,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,560,1510,2000,430000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,2000,375000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,560,1510,1999,389000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1999,350000,3.15,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,560,1510,1999,405000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,560,1510,2000,415000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,353,929,1999,272950,3.45,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,348500,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,560,1510,1996,275000,2.99,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,560,1510,1996,360000,3.15,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,469649,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,240000,3.45,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,353,929,1996,260000,3.5,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1994,370000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,415000,3.51,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,353,929,1996,339999,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,427000,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1999,425000,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,340000,3.51,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,410000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,353,929,1996,275000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,367000,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,410000,3.5,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,2002,380000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,2002,357000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,2002,425000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1300,2003,380000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,349000,3.5,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,348000,3.15,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,314000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,415000,3.23,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,350000,3.45,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,360000,3.45,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,370000,3.5,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,348000,3.13,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,560,1553,1996,380000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,500,1354,1996,330000,2.99,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1400,1690,1991,430000,2.91,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1441,1090,1989,470000,3.23,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,840,1690,1989,434000,2.99,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2044,1690,1990,505000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1260,1690,1993,460000,2.91,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1420,1690,1993,215000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1100,1690,1993,460000,2.91,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,8000,3011,1940,750000,3.15,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,4000,2080,1965,477000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,4000,1803,1970,664000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,12000,1566,1950,1125000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,4000,1201,1925,370000,3.23,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,3330,1562,1973,410000,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2197,1562,1980,489000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1360,1088,1980,395000,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1360,1088,1975,350000,3.23,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2550,1562,1973,420000,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,5182,1562,1973,505000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1722,1516,1973,311805,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1722,1516,1973,436439,3.45,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,1328,1112,1975,450000,2.99,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1826,1496,1975,470000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2027,1536,1975,469900,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1360,1112,1975,483000,3.45,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,2046,1516,1970,580000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1870,1516,1970,480000,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1360,1108,1970,400000,3.51,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,1360,1108,1970,480000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,3338,1736,1970,453556,3.51,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,1488,1112,1970,474100,3.23,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2640,1736,1970,455000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1280,1088,1970,440000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,6440,1840,1970,557500,3.15,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2266,1536,1970,445000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1360,1088,1970,499999,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1800,1516,1975,538888,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2806,1376,1975,499000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,3163,1376,1975,475000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1828,1480,1975,495000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1828,1480,1975,475000,3.13,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2475,1376,1970,510000,2.91,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1673,1064,1987,385000,3.23,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,3290,1940,1975,510000,3.45,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,2461,1848,1975,420000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2800,1344,1975,555000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2052,960,1987,339900,3.15,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1360,1408,1987,426500,3.51,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,1696,1408,1987,307000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1267,1240,1987,447000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,3760,2272,1975,650000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1170,1339,1982,435000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1200,1378,1980,411855,3.51,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,1620,1260,1980,467000,3.13,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1650,1378,1980,430000,3.15,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1200,1378,1980,433500,3.23,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1980,1176,1975,377500,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2124,1640,1975,515000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1620,1260,1980,285000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1650,1378,1980,465000,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1200,1378,1980,333300,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2700,1076,1980,392000,3.13,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,3240,1700,1980,650000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2700,1076,1980,550000,3.15,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2700,1076,1980,580000,3.45,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,3168,1076,1980,620000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2700,1914,1980,570220,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2340,1800,1981,725000,3.23,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2070,2392,1980,409500,3.5,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1620,1378,1975,450000,3.45,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,1620,1378,1975,445000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1890,1948,1980,515000,3.51,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,1500,1320,1995,485000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1420,1320,1995,475000,3.51,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,1604,1560,1997,505000,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1260,1008,1990,420000,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,720,1008,1990,363000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,720,900,1990,377500,3.5,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1316,980,1992,410000,3.13,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1316,980,1992,435000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1178,1148,1990,465000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2698,1148,1990,490000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1392,1152,1987,375079,2.91,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1044,1008,1987,380500,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1044,1008,1986,380000,3.45,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,880,1232,1986,400000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,880,1232,1986,400000,3.51,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,880,1232,1986,425000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,720,1008,1986,440000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1440,1152,1987,399000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,720,1008,1987,400000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,960,1152,1987,223080,2.99,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,960,1152,1987,420000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,640,980,1987,261500,3.23,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,960,1152,1987,350000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1860,1547,1988,475000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1043,1008,1986,425000,3.5,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1280,1427,1990,410000,3.45,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,1270,1427,1991,480000,2.91,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1785,1368,1990,445000,2.99,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1428,996,1990,410000,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1365,1319,1990,425000,3.51,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,2038,996,1991,472500,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2423,1900,1996,585000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1555,1260,1999,354900,2.91,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2032,2056,1989,575000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2947,1473,1989,385000,3.5,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1960,2056,1989,568500,3.13,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1204,884,1989,423000,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1050,886,1989,315815,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1060,1008,1989,380000,3.23,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1060,1008,1989,417000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1060,1008,1988,450000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,10000,2194,1950,999999,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,7500,1146,1960,765000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1108,1176,1997,515000,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1059,1176,1997,531000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1116,1176,1997,455000,3.23,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2950,1760,2005,763000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,3960,2054,1950,850000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,4370,1368,1970,775000,3.5,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2816,1224,1975,590000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,4900,1182,1940,525000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,567,1125,1988,320000,2.91,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2140,1870,2018,575311,3.51,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,2000,1870,2018,570220,3.45,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,1522,1150,2004,496860,3.13,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2000,864,1970,510000,3.5,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2000,1104,1970,450000,3.13,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2000,1104,1985,519000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,7340,1608,1955,625000,3.23,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,3960,1144,1955,502000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,16665,3616,1930,2100000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,6840,1600,1935,795000,3.5,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,10000,1880,1935,989000,3.5,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2673,1344,1975,520000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,6720,888,1920,699000,3.13,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,5040,2338,1973,660000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2000,1760,1960,400000,3.5,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,3373,1216,1930,425000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,3328,1504,1899,418000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1575,1260,2003,495000,3.45,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,6750,2688,1993,820000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2353,1272,2005,382000,2.91,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1504,2000,1984,420000,3.13,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1140,1286,1984,420000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,3230,1648,1970,559000,2.91,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,4000,1898,1970,630000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2543,1800,1988,499000,3.45,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,2800,1344,1975,310000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,3000,1760,1975,625000,2.99,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1674,1284,1970,465000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1674,1260,1970,450000,3.15,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,5800,1348,1950,437500,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1854,1296,1970,490000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1854,1320,1970,477500,3.51,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,2678,1392,1970,530000,3.13,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1350,1260,1975,479900,3.13,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,6900,2203,1955,705000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,3710,1020,1950,575000,2.91,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2759,1887,2014,650000,3.23,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1539,1484,2015,585000,3.23,1
